id;locale;code;gmt;order_fee;user_cash
888572951;AU;blogs;2016/4/19 11:28;0;0
532807528;US;blogs;2016/4/19 10:18;0;0
203637993;IN;blogs;2016/4/18 16:34;0;24348.30296
419703711;ID;blogs;2016/4/18 15:24;62.771;24348.30296
419703711;ID;blogs;2016/4/18 12:29;62.771;24348.30296
419703711;ID;blogs;2016/4/18 12:28;62.771;24348.30296
419703711;ID;blogs;2016/4/18 12:28;62.771;24348.30296
419703711;ID;blogs;2016/4/18 12:26;12.491429;24348.30296
781232720;US;blogs;2016/4/18 2:07;12.491429;24348.30296
805919627;SG;blogs;2016/4/17 16:56;13.370223;24348.30296
395064885;US;blogs;2016/4/17 13:29;12.491429;24348.30296
888572951;AU;blogs;2016/4/17 12:43;0;24348.30296
847136310;US;ads;2016/4/17 12:07;753.252;24348.30296
102205435;AU;blogs;;13.746849;24348.30296
941567918;MY;blogs;2016/4/16 16:05;0;24348.30296
941567918;MY;blogs;2016/4/16 16:03;0;24348.30296
881096970;AE;blogs;2016/4/16 14:52;12.491429;24348.30296
81095624;ID;blogs;2016/4/16 11:27;62.771;24348.30296
248621995;ID;blogs;2016/4/16 11:26;62.771;24348.30296
81095624;ID;blogs;2016/4/15 15:19;62.771;62.771
248621995;ID;blogs;2016/4/15 15:18;62.771;62.771
688145133;US;blogs;2016/4/14 21:50;12.491429;137.071374
936640104;US;blogs;2016/4/14 19:25;13.244681;70.246181
623835178;DE;blogs;2016/4/13 20:56;14.876727;14.876727
886093054;GB;ads;2016/4/12 21:04;903.9024;903.9024
503544723;US;blogs;2016/4/12 17:24;12.491429;12.491429
345618184;US;ads;2016/4/12 11:16;753.252;1506.504
358903400;IN;blogs;2016/4/12 8:54;0;0
692467689;GB;ads;2016/4/12 5:53;903.9024;903.9024
973555970;AE;blogs;2016/4/12 1:23;62.771;62.771
939386456;BG;ads;2016/4/11 22:38;903.9024;903.9024
973555970;AE;blogs;2016/4/11 20:09;62.771;62.771
590512867;IN;ads;2016/4/11 13:51;753.252;2905.058625
959792948;SG;ads;2016/4/10 17:26;805.97964;805.97964
956624915;US;blogs;2016/4/10 15:44;0;0
224167868;SA;ads;2016/4/10 13:08;753.252;753.252
590512867;IN;ads;2016/4/9 22:30;753.252;753.252
442482286;US;blogs;2016/4/9 14:27;0;0
729030081;US;blogs;2016/4/9 12:17;0;0
729030081;US;blogs;2016/4/9 12:17;0;0
487433196;US;blogs;2016/4/9 11:33;0;0
487433196;US;blogs;2016/4/9 11:22;0;0
590512867;IN;ads;2016/4/7 15:00;0;0
590512867;IN;ads;2016/4/7 11:51;0;0
30747013;GB;ads;2016/4/7 0:51;1506.504;1506.504
568933083;IN;blogs;2016/4/6 20:04;0;189.688325
364660147;US;blogs;2016/4/3 16:24;62.771;62.771
364660147;US;blogs;2016/4/3 15:38;62.771;62.771
682244257;GB;blogs;2016/4/2 23:30;75.3252;75.3252
884709131;GB;ads;2016/4/2 4:22;0;0
590512867;IN;ads;2016/4/2 0:11;0;0
590512867;IN;ads;2016/4/1 23:30;0;0
863633833;ID;blogs;2016/4/1 20:13;62.771;62.771
364660147;US;blogs;2016/4/1 16:49;62.771;62.771
436208724;IT;blogs;2016/3/31 4:14;77.20526;77.20526
436208724;IT;blogs;2016/3/31 3:05;77.20526;77.20526
417916287;MY;blogs;2016/3/30 22:16;0;0
417916287;MY;blogs;2016/3/30 22:07;0;0
412514295;IN;blogs;2016/3/30 20:36;0;0
330879513;KZ;blogs;2016/3/30 20:34;0;0
681589603;US;blogs;2016/3/30 12:49;0;2643.544314
306037172;AU;blogs;2016/3/30 12:38;69.6113;69.6113
379596048;MY;blogs;2016/3/30 11:18;0;0
379596048;MY;blogs;2016/3/30 11:17;0;0
341773343;MY;blogs;2016/3/30 10:25;0;0
905195341;CA;blogs;2016/3/30 6:15;0;0
316130025;MY;blogs;2016/3/29 19:05;0;0
776283498;NL;blogs;2016/3/29 17:04;0;0
729296322;TW;ads;2016/3/29 16:50;632.83;98219.73331
729296322;TW;ads;2016/3/29 16:48;632.83;632.83
729296322;TW;ads;2016/3/29 16:42;632.83;3164.15
328731494;US;blogs;2016/3/29 16:06;0;0
859703461;TW;blogs;2016/3/29 15:06;0;0
859703461;TW;blogs;2016/3/29 15:05;0;0
610562245;MY;blogs;2016/3/29 13:47;0;30447.34092
610562245;MY;blogs;2016/3/29 13:47;0;0
283466153;LK;blogs;2016/3/29 13:22;0;0
141815063;SG;blogs;2016/3/29 12:43;0;0
527517687;MY;blogs;2016/3/29 12:11;0;0
527517687;MY;blogs;2016/3/29 12:10;0;0
466011173;US;blogs;2016/3/29 11:34;0;713.46605
283466153;LK;blogs;2016/3/29 10:42;0;0
951038431;PH;blogs;2016/3/29 10:16;0;40.80115
951038431;PH;blogs;2016/3/29 10:14;0;0
279675487;FR;blogs;2016/3/29 7:39;0;0
279675487;FR;blogs;2016/3/29 7:38;0;0
325724059;DO;blogs;2016/3/29 1:30;0;0
247468393;US;blogs;2016/3/28 23:14;0;0
552116537;US;blogs;2016/3/28 19:21;0;56.9781
